,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Destin,90,US,1552003559,62,30.39,-86.5,59.0,8.05
1,Ushuaia,75,AR,1551999600,80,-54.81,-68.31,41.0,28.86
2,Atuona,12,PF,1552003680,100,-9.8,-139.03,82.71,14.27
3,Zhigansk,68,RU,1552003681,72,66.77,123.37,8.28,3.65
4,Mar del Plata,0,AR,1552003683,52,-46.43,-67.52,57.11,7.78
5,Kavaratti,0,IN,1552003685,100,10.57,72.64,81.14,6.55
6,Yellowknife,20,CA,1552003371,71,62.45,-114.38,8.6,8.05
7,Tilichiki,24,RU,1552003517,84,60.47,166.1,17.73,4.21
8,Bluff,32,AU,1552003690,64,-23.58,149.07,80.91,13.38
9,Puerto Ayora,20,EC,1551999600,74,-0.74,-90.35,82.4,10.29
10,Hilo,90,US,1552003232,69,19.71,-155.08,73.99,6.93
11,Geraldton,20,CA,1551999600,41,49.72,-86.95,19.4,13.87
12,Los Llanos de Aridane,32,ES,1552003310,77,28.66,-17.92,62.6,16.11
13,Saint-Philippe,40,CA,1552003513,56,45.36,-73.48,15.8,11.03
14,Castro,75,CL,1551999600,66,-42.48,-73.76,51.8,5.82
15,New Norfolk,20,AU,1552003396,36,-42.78,147.06,69.01,17.22
16,Khuzdar,76,PK,1552003703,85,27.8,66.62,48.56,0.63
17,Faanui,88,PF,1552003607,95,-16.48,-151.75,85.46,17.52
18,Butaritari,88,KI,1552003706,100,3.07,172.79,79.65,8.68
19,Nemuro,40,JP,1552001400,73,43.32,145.57,23.0,4.7
20,Tiksi,68,RU,1552003709,77,71.64,128.87,1.85,10.69
21,Rikitea,36,PF,1552003711,95,-23.12,-134.97,81.77,15.17
22,Hithadhoo,0,MV,1552003445,100,-0.6,73.08,82.49,3.65
23,Acacoyagua,5,MX,1552002060,66,15.34,-92.68,86.0,9.17
24,Bozovici,0,RO,1552001400,31,44.93,22.0,60.8,24.16
25,Prabumulih,88,ID,1552003716,98,-3.5,104.19,73.04,3.76
26,Nome,90,US,1552003712,93,30.04,-94.42,66.99,3.36
27,Mantua,0,IT,1552003687,70,45.16,10.79,55.0,3.36
28,Hermanus,44,ZA,1552003259,94,-34.42,19.24,59.0,5.55
29,Kodiak,90,US,1552003408,92,39.95,-94.76,35.01,16.11
30,Yatou,40,CM,1551999600,78,3.63,9.81,77.0,8.05
31,Albany,20,US,1552003721,52,42.65,-73.75,21.99,14.99
32,Castrovillari,68,IT,1552003414,64,39.82,16.2,57.99,2.75
33,Banda Aceh,0,ID,1552003731,99,5.56,95.32,69.26,2.98
34,Beira,75,ES,1552003709,81,43.2,-8.36,54.0,9.17
35,Gibara,75,CU,1551999000,83,21.11,-76.13,73.4,14.99
36,Vagur,0,FO,1552003739,100,61.47,-6.81,38.12,15.84
37,Turayf,0,SA,1551999600,93,31.68,38.65,44.6,11.41
38,Souillac,92,FR,1552003390,87,45.6,-0.6,48.99,8.05
39,Saint-Georges,36,CA,1552003284,66,46.12,-70.67,8.01,6.89
40,Lagos,0,NG,1552003746,93,6.46,3.39,80.28,6.78
41,Norman Wells,75,CA,1551999600,52,65.28,-126.83,19.4,6.93
42,Cabo San Lucas,5,MX,1552003293,26,22.89,-109.91,88.0,5.82
43,Busselton,88,AU,1552003516,59,-33.64,115.35,69.01,10.8
44,Cidreira,24,BR,1552003752,94,-30.17,-50.22,73.4,2.3
45,Brae,36,GB,1552002600,80,60.4,-1.35,37.4,16.11
46,Mahebourg,20,MU,1552003444,88,-20.41,57.7,75.2,5.82
47,Mzimba,44,MW,1552003758,91,-11.9,33.6,61.25,3.65
48,Bethel,90,US,1552002960,69,60.79,-161.76,39.2,13.87
49,Port Alfred,88,ZA,1552003760,93,-33.59,26.89,69.01,1.99
50,Dwarka,20,IN,1552001400,82,28.58,77.04,59.0,2.75
51,Qaanaaq,0,GL,1552003767,86,77.48,-69.36,-10.67,5.66
52,Havre-Saint-Pierre,20,CA,1551999600,46,50.23,-63.6,6.8,18.34
53,Mustasaari,92,FI,1552003658,95,63.17,21.67,33.01,4.7
54,Kapaa,75,US,1552003701,88,22.08,-159.32,78.8,18.34
55,Punta Arenas,75,CL,1552003393,65,-53.16,-70.91,46.4,19.46
56,Nikolskoye,90,RU,1552003339,92,59.7,30.79,34.0,11.18
57,Banfora,0,BF,1552003776,42,10.64,-4.75,72.36,6.22
58,Ilulissat,40,GL,1551999000,46,69.22,-51.1,28.4,28.86
59,Puerto Colombia,40,CO,1552003324,78,10.99,-74.96,78.8,21.92
60,Monticello,1,US,1552003780,48,45.31,-93.79,21.2,4.76
61,Hobart,20,AU,1552003696,36,-42.88,147.33,69.01,17.22
62,Otavi,88,NA,1552003787,72,-19.64,17.34,67.19,3.53
63,Arraial do Cabo,20,BR,1551999600,83,-22.97,-42.02,80.6,18.34
64,Jardim,0,BR,1552003503,56,-21.48,-56.15,84.06,8.79
65,Zyryanka,24,RU,1552003791,71,65.73,150.89,-6.17,2.64
66,Carnarvon,0,ZA,1552003556,55,-30.97,22.13,63.14,14.72
67,Marawi,8,PH,1552003295,74,8.0,124.29,77.0,5.01
68,Kruisfontein,100,ZA,1552003796,100,-34.0,24.73,65.25,18.86
69,Mataura,0,NZ,1552003211,55,-46.19,168.86,62.01,1.99
70,Mehamn,40,NO,1551999000,73,71.03,27.85,19.4,19.46
71,Bambous Virieux,20,MU,1552003744,88,-20.34,57.76,75.2,5.82
72,Tuktoyaktuk,90,CA,1551999600,85,69.44,-133.03,19.4,11.41
73,Avarua,92,CK,1552001400,70,-21.21,-159.78,84.2,9.17
74,Karasburg,0,NA,1552003820,55,-28.01,18.75,63.36,7.78
75,Opuwo,0,NA,1552003822,59,-18.06,13.84,63.23,3.42
76,Bayonet Point,1,US,1552003589,63,28.33,-82.68,68.0,10.29
77,Sioux Lookout,40,CA,1551999600,41,50.1,-91.92,19.4,8.05
78,Lodja,92,CD,1552003826,97,-3.52,23.6,68.18,2.64
79,Chicama,75,PE,1551999600,83,-7.84,-79.15,75.2,8.05
80,Ustye,92,RU,1552003829,89,58.76,27.79,38.16,16.06
81,Mount Gambier,40,AU,1551999600,63,-37.83,140.78,60.8,3.36
82,Bansi,0,IN,1552003832,73,27.18,82.93,56.48,7.78
83,Igrim,32,RU,1552003834,67,63.19,64.42,14.09,10.69
84,Berliste,0,RO,1552001400,31,44.99,21.46,60.8,24.16
85,Saint-Francois,88,FR,1552003250,70,46.42,3.91,48.2,8.05
86,Thompson,40,CA,1551999600,35,55.74,-97.86,24.8,16.11
87,Zhengjiatun,8,CN,1552003840,52,43.51,123.51,31.1,13.71
88,Barrow,0,AR,1552003841,49,-38.31,-60.23,67.1,16.96
89,Pacific Grove,90,US,1552003837,81,36.62,-121.92,55.0,9.17
90,Nanortalik,68,GL,1552003844,94,60.14,-45.24,30.65,26.02
91,Saldanha,44,PT,1552003845,91,41.42,-6.55,36.45,3.87
92,Bahia Honda,0,CU,1552003847,61,22.9,-83.16,75.11,9.46
93,Cap Malheureux,20,MU,1552003444,88,-19.98,57.61,75.2,5.82
94,Hambantota,8,LK,1552003850,100,6.12,81.12,78.89,4.65
